,original,clase,clase_text
1257, 90 anys  president francesc macià proclamà   repúblicacatalana   esperit  1931        precedit      vindran   farem realitat  farem  catalunya  país just  net  lliure   ,15,immigracio
1259,raül  90 anys    república catalana continua sent oportunitat  modernitzar   democràcia  deixar   súbdits  esdevinguem ciutadans cívics  actius  responsables   destí individual  comunitari  global  visca  república   ,0,presidencia
1265,moltíssimes gràcies    mostres  suport  continuarem lluitant  persistint   guanyem  cuideu    cuideu  persones  estimeu   estimo ,0,presidencia
1270,   nota  premsa trobareu   detalls  acrod històric   signat  endesa  condonar  deute   famílies vulnerables  regular  pobresa energètica     ,15,immigracio
1271,europa 3    democracia plena 0   ,5,accio exterior i govern obert
1272,  portaveu      mesos   portaveu      satisfacció   honor         gràcies  suport   grup parlamentari    ratificar  nova responsabilitat       recupera entrevista      ,0,presidencia
1273,cas extradició  escòcia arxivat      gràcies  gràcies  gràcies      contribuir  fons    defensa escocessa      m  fet costat  gratitud  admiració eterna pels advocats   claire mitchell qc       g      nosurrender  ,0,presidencia
1278,justicia versus justiciers  felicitats    consellera      amnistia  independencia  ,0,presidencia
1279,enhorabona  consellera    victòria  victòria  aconseguir demostrar  món   espanya persegueix independentisme    costat      ,13,justicia
1280,encoratjo   parlamentaris  vulguin   s afegeixin   crida  exigeixin  caps     unió europea    units     màxima urgència  duguin  terme  operació  rescat   diputades afganeses    famílies ,5,accio exterior i govern obert
1291,arruïnar  vida  càrrecs públics  judici   tribunals   jutges  motius polítics   anormalitat democràtica  normal   espanyol    carrers   blanc  negre   ,0,presidencia
1292,  conseller argimon       onada   probable  arribi    protegits    podrà controlar   vacunació  evita   puguis contagiar        difícil    tinguis  probabilitats emmalaltir greu   ,0,presidencia
1296, presons catalanes   pensades    dones    realitat    canviar     incorporarem  visió  gènere    rehabilitació   internes    tasca   funcionàries  construint   centre creat  pensat      ,8,accio climatica alimentacio i agenda rural
1298, comunicat  junts  catalunya   devolució  menors  ceuta      llegeix  comunicat   web     ,13,justicia
1305,  dia internacional  commemoració  homenatge   víctimes  terrorisme   junts volem mostrar   suport  afecte   persones   patit  barbàrie     uniteforvictimsofterrorism  victimsofterrorism  ,10,interior
1311,          taula  diàleg    part catalana té  clar   anirem  negociar  amnistia  autodeterminació   posar accent    oferta té  part espanyola  catalunya    ,0,presidencia
1312,          7    sentències   català  volem despertar vocacions  jutges catalans    advocats  sentin segurs  fer escrits  català   ,12,cultura
1314,  suport mhp      amenaces    tenen  recurs   violència   ,13,justicia
1332,escoltem    reconeguem  govern  talibans    deixem    sort    deixem  futur   passat   present     oprimit   maledicció   pressió internacional  sosafghanistanwomen  ,11,drets socials
1335, contenta  tornar  gaudir    festa major  gràcia      veïnes  veïns  comerciants  entitats uneixen esforços  il lusions  decorar  racó   reconeixement   mereixeu   gràcies  fer  viure   emoció  festes  gràcia   ,9,salut
1338,  comunicat  junts  catalunya  afganistan   defensa  drets humans     llegeix  comunicat   web     ,13,justicia
1342, societat democràtica basa   principis   respecte  drets humans    convencions internacionals  espanya   temps   perdut  centralitat  demanem  s aturin  repatriacions il legals  menors    ,11,drets socials
1351,declaració   presidència  parlament  catalunya  defensa   dones   ciutadans  afganistan    ,6,educacio
1383,cinisme  psoe   aproven amagatotis   ple  agost   transparència   consens   línia elèctrica  181km   trinxen   territori   projecte   aportarà  nova inversió    rebaixarà  preu   llum    sud  catalunya diem     ,0,presidencia
1388, nosepuede       hemeroteca  oblit  promeses incomplertes   ,4,igualtat i feminismes
1394,  portaveu adjunt   rius   història   permet   optimistes   psoe     valent  tractar essència  conflicte  exercici autodeterminació    descomptat  amnistia     llegeix entrevista      ,0,presidencia
1419, govern espanyol impugna  decrets catalans  habitatge    realment cregui   importi   inconstitucionals      aprovats   institucions catalanes   taules bilaterals   diàleg   paren   agost   ,13,justicia
1423,  independents faria anys  tindríem  hub intercontinental   treballo    coses   independència   aeroport    verd   lowcost    país  somio   catalunya digital  verda   progrés    incompatible    contrari ,1,vicepresidencia i politiques digitals i territori
1424,      estatut        catalunya  independencia  ,0,presidencia
1428,   riuades   alemanya  posat  marxa   iniciativa     fer  casa    vins  celler      riuades  francolí     ,0,presidencia
1431,   delirant teoria    fairy     supera   lliçó  vèncer  independentisme    nivell democràtic   zero aclareix  estratègia  inspira accions  decisions   cúpula judicial   clavegueres    independencia   ,0,presidencia
1432,   conseller  salut  josep maria argimon   tarda  saludat  agraït  professionals  centre  salut  cardona    enorme tasca   ,5,accio exterior i govern obert
1437,   the hungarian weekly  168 ora interviews  minister   victoriaalsina        we demand   amnesty       dialogue with the spanish government should be based     1   amnesty  2   right to self determination  3   focus  resolving political issues   ,15,immigracio
1439,      jocs olímpics hivern pirineus barcelona 2030    aconseguir    jocs sostenibles    consens  territori   donin feina  millorin  serveis  pirineu       recupera entrevista    pirineus     ,12,cultura
1446, acceptarem  traspàs  fake    gestió  beques    acompanyat  finançament   costos  gestió   assumit  generalitat  darrers anys    exigents        pràctica habitual  govern espanyol    ,6,educacio
1450,     artadi     acord  aeroport  prat  anem     proposava aena   govern treballarà  conjugar  vectors    compatibles  convertir aeroport   hub intercontinental   respectuosos   medi ambient   ,1,vicepresidencia i politiques digitals i territori
1455,  vicepresident    acord  aeroport  prat  catalunya necessita  aeroport intercontinental   competitiu   aeroports  reus  girona ajudaran  crear  sistema aeroportuari  farà  catalunya competeixi   economia globalitzada   ,1,vicepresidencia i politiques digitals i territori
1457,  acordat fer  prat  aeroport intercontinental  connexió ave   aeroports  reus  girona  20min   infraestructura  necessita economia   país   propers anys   lowcost   sostenibilitat    ,8,accio climatica alimentacio i agenda rural
1458,  vicepresident   lidera acord  convertir aeroport  prat  barcelona   hub intercontinental    llegeix  nota  premsa   ,0,presidencia
1463,    madaula     acceptable   braç judicial interfereixi        permetre  inhabilitin  democràcia        gent   votat  fer democràcia     llegeix entrevista        ,13,justicia
1469,venim          comarca  ciutat  catalunya té referents  defensa   llibertat  encadenen  llegat  compromís polític   país  generació  generació    tarragona   josep sendra  navarro     acomiadat  dep  ,11,drets socials
1471, presidenta      lauraborras  demana  representants   institucions europees     president     president  operació  rescat   diputades  integraven assemblea nacional  afganistan    famílies  ,6,educacio
1474,  dona  diputada m afegeixo   crida      lauraborras exigint  caps    unió europea    units  rescat   diputades afganeses    famílies   ,5,accio exterior i govern obert
1475,  diputat m afegeixo   crida     lauraborras exigint  caps    unió europea    units  rescat   diputades afganeses    famílies   ,5,accio exterior i govern obert
1476, presidenta   parlament     demana  protecció   diputades afganeses   carta enviada   presidenta   comissió europea  ,5,accio exterior i govern obert
1477, presidenta        demana  representants   institucions europees     president     president  operació  rescat   diputades  integraven assemblea nacional  afganistan    famílies   ,6,educacio
1478,  diputada  membre   mesa    m afegeixo   petició d  presidenta     q  institucions treballin  alliberar  diputades afganes  doblement  triple  perill    afganistan    dones    demòcrates   afghanwomen  ,2,empresa i treball
1486,  carta  laura borràs demana  ursula von der leyen  exigeixi  caps   països   ue    units  llancin  operació  rescat   diputades afganeses    famílies  ,5,accio exterior i govern obert
1495, gràcies mhp    prendre  iniciativa      suport  ajudar    calgui  ,5,accio exterior i govern obert
1496,gràcies  mhp    compteu    suport     disposició  ajudar  diputades afganeses    famílies   ,5,accio exterior i govern obert
1502, presidenta   parlament     demana  protecció   diputades afganeses   presidenta     commission      ,5,accio exterior i govern obert
1512,bon dia        ,12,cultura
1522, 1993      redescobreix espais arquitectònics      música  connecta  patrimoni musical universal   patrimoni històric   país   sta maria  vilabertran  gaudit   variacions goldberg interpretades     ,4,igualtat i feminismes
1524,  rosa       gràcies       defallir ,9,salut
1537,the extradition hearing for catalan mep   professor   will take place this thursday 26th august  10am at edinburgh sheriff court  3 years  clara is free  but still  political exile  lluitarem   final   guanyarem   ,13,justicia
1539,  anys  estimat joaquim carbó          anys  plenitud  creació  bonhomia    preciós aprofitar  50 anys    casa   sorra   fer   merescut homenatge       ,2,empresa i treball
1543,   deixat  dona fantàstica  marina sari   dona valenta    idees clares   precises     ajudar moltíssim   arribar  alguer    fer  cartografia  delimitada   geografia humana  país català  sardenya   fil 1   ,12,cultura
1554, nit somia riu    lluna carles riba,0,presidencia
1555, sembla  bé     canvi  indults   renunciat  treballar   independència   temporada       vulguin imposar   renúncia     clar      sembla  seguirem lluitant    vies legítimes ,0,presidencia
1560,    lauraborras   tordera       concert  sau   ,8,accio climatica alimentacio i agenda rural
1563,      coincidint   pregó    fmtordera21  rebut  visita   mh presidenta   lauraborras   signat  llibre  visites  municipi  seguidament  assistit  pregó    concert  sau30  gràcies laura  estona  torderasomriu  tordera radio  ,12,cultura
1573,escòcia avança   producció energia eòlica   articulació  sistema energètic  descarbonitza   permet sobiranitzar      semestre  produït suficient energia eòlica   satisfer  vegades  demanda    llars  país   ,3,economia i hisenda
1575,recuperem  conferència  jordi casassas           cat  institucions  catalunya     vídeos imprescidibles   setmana     ,5,accio exterior i govern obert
1590,  límits   llenguatge   límits   món   ludwig wittgenstein  tractatus logico philosophicus    ,12,cultura
1596,  5è  aniversari  traspàs  jordi carbonell recordem   tossuda resistència   tortura  dependències policials espanyoles  negar   contestar  castellà   torturadors   ,5,accio exterior i govern obert
1597,  catàstrofe afganistan   sorprenen  rodes  premsa victorioses  tweets triomfants  discursos pomposos   autofelicitació general  part  governants occidentals    país enfonsat    discurs   bons    evacuar  grapat  col laboradors,5,accio exterior i govern obert
1616,24h   acord    fiscalia    jutge    polític  westminster  amenaçat  govern escocès   presó   inhabilitació  cas  tirar   referèndum  escòcia   obre  camí   ,4,igualtat i feminismes
1625, cas    museologia             ,12,cultura
1627,aprèn aspra lliçó   t  portat   batec  do  vent  llibertat     veig esplendors  mots corcades  foscor  vulgueu nets camins clars      brills  subtils paranys  reclams freds      tolerem enganys     espriu,4,igualtat i feminismes
1629,in  pen dent   eufemismes   vergonya   subterfugis      ,0,presidencia
1632, projecte pinzellades  llibertat obre   compte  twitter  homenatge  suport    persones repesaliades  1 0                     ,4,igualtat i feminismes
1634, s  pot   acord    millor forma aconseguir   aplicar    pròpia universitat   ,7,recerca i universitats
1637,     greu    incondicional   festa  ametller florit  organitzàvem        deia  cant espiritual  memòria   cor  ulls clucs   descansi  pau   forta abraçada    família ,9,salut
1641,       sas    clar esther clar  tens cognom    independentista     parlar    vols entendre  segura   entens  absolució    vull   pels  esmentes   vull pels   3 300    independència            votar,0,presidencia
1644,bon dia   recordar acte  suport  cdr detinguts  23s        consellera         companys     cdr    ,0,presidencia
1662,    llengua   autodeterminació     quedar aturats   defensa    posició  construirem    defensar  construir  tàctica  estratègia      majors eines    fer  empoderant   ciutadania  uce2021  ,12,cultura
1672, the very day that kabul fell to the taliban  an eu government  which could only be spain  made  job offer to work in its embassy in afghanistan  by the way     was spanish minister for foreign affairs before being high representative   eeas    commission  ,15,immigracio
1677, notícia esgarrifosa  inhumana   indica    pot arribar  règim  terror  excusa religiosa  empresonen nens  8 anys  recloure  esperança  an 8 year old boy was thrown in jail for peeing   carpet in pakistan   via  ,15,immigracio
1679,  allioli     morter  especial    regalar  amics   naturalment   banda sonora imprescindible  joan pau giné    cançó allioli      acostumem  acompanyar  cerimònia     ,12,cultura
1684, cerveseria nord catalana  ona  argelers   marenda    guanyadora  concurs mundial  cerveses    nota  100  100   cervesa wood aged imperial stout obté estatut  revelació mundial 2021  millor cervesa mundial   ,5,accio exterior i govern obert
1685,       bandes sonores    infantesa    cançons  vinil reproduïdes  toca discos  sofisticats  presents  casa   costat    salvem  oblit gràcies   tecnolgia   superat  cd     revifat  vinil   ,12,cultura
1687, potes curtes  ,9,salut
1688,finalment s  publicat  memòries   publicitat institucional  2019  2020      conseller economia  jaume giró     secretari  difusió  jofre llombart     fet possible   via  ,0,presidencia
1693,espanya  aixecar  cautelars    donar  tribunal  luxemburg dient   euroordres  suspeses       immunitat      detenir  exiliats      argument     batalla   guanyat   ,13,justicia
1697,     une  8h   signes vitaux   planète s affaiblissent sous  coups  économie mondiale  ont   garde  scientifiques  premier plan  s inquiétant  imminence possible  certains points  rupture climatiques  afp 2 5  ,8,accio climatica alimentacio i agenda rural
1704, president   puigdemont   acte  signatura   carta  compromís  consells locals    soler     autodeterminació   guia   ensenya  camí  éxit   guanya  dia    fer     fet   ,0,presidencia
1709, content    xavi   carles  s  tardat   aturar  cacera     comès   delicte       servidors lleials   ,13,justicia
1712, inversions aena    prometen    regal    obligació   ,2,empresa i treball
1714,pegasus     claro imposible     calls for spyware trade ban amid pegasus revelations  ,15,immigracio
1716,      passant m agradaria explicar   ràpidament    fil   cosa    punt  passar   pot   lesiva pels interessos  catalunya  s  tramitant  llei  audiovisual  pot  demolidora  país  1 14,0,presidencia
1720,fer gala   repressió   precisament  millor carta  presentació   milllor auguri  diàleg  ministra      full  ruta   independència    mandat  52   catalans  respecte   criminalització  ,0,presidencia
1729, pluges   inundacions  colpit  cor europa   provocat  catàstrofe     morts  danys incomptables    condol   famílies   víctimes     suport  professionals  voluntaris  treballen  frenar  revertir  situació   ,4,igualtat i feminismes
1737,genial  anunci      treure s  barret   ,2,empresa i treball
1740, interès  llegir  cròniques  opinòcrates  règim   veure       contundents        remodelació  govern  president           purgues estalinistes      cops autoritat ,0,presidencia
1745,      insta     presentar  candidatura   jocs olímpics hivern barcelona pirineus 2030      71 vots  favor   20 vots     43 abstencions  ,9,salut
1761,wolfgang schomburg    espanya   passar  alt    jutges independents  alemanya   ,5,accio exterior i govern obert
1765,the spanish tribunal  cuentas  reached another milestone in the witch hunt against dozens of catalan officials and activists  including  5  demanding the payment of millions of euros or threatening to seize their funds and assets   ,13,justicia
1773,    necesario discutir  cifra   planteadas   tribunal  cuentas   cuestionamiento   der  conjunto  procedimiento  resulta incoherente  arbitrario  parcial   riguroso  ilegal     inconstitucional   ,0,presidencia
1775,   tribunal   cuentas comunicarà  quantitat  diners   volen robar   quantitat    explicat abastament  premsa    luxe  detalls  coses   democràcia espanyola    franquisme continua viu         corona ,3,economia i hisenda
1784,kafka  catalogne   pris dans  imbroglio juridique   grand économiste  menacé  ruine    ,12,cultura
1788, monday    approved  report   turkey  amp   spain about freedom to do politics and expression   trust that the european council will take good note of this  and ensure that the money of europeans is used to improve democracy where it is weakening    ,15,immigracio
1796,yesterday s     news report  spanish repression of  catalans is damning   last year  noted it in my draft of our fundamental rights report  but          amp    deleted it   all  the wrong side of history       ,15,immigracio
1814, cantant  rap  antifeixista italià    escrit  cançó   repressió   censura  espanya  parla  borbons  carrero blanco  catalunya                 provocat persecució judicial   ,12,cultura
1816, honor  rebut   casa   república  mhp pere aragonès   agraïment   cordialitat   conversa   mantingut  gràcies  venir   waterloo  enviar  missatge  suport  reconeixement   lluita  exili   ,0,presidencia
1819,reconciliació    dia acompanyarem  alts càrrecs   generalitat citats   ciutat   justícia  actitud repressiva  pateixen   3 300 persones  incompatible   títol  acte   retrobament  desitgem   via   política   negociació  ,0,presidencia
1822, condol extensiu    família  amics  companys  emma roca  pionera  cos      esport  muntanya  catalunya  ,10,interior
1824,  sincer condol   família   amics  companys  joan     perdre  vida  acte  servei   abraçada      família       desig   companys ferits  recuperin    ,10,interior
1826,1  today   legalhr adopted  report by   cilevics  should politicians be prosecuted for statements made in the exercise of their mandate   referring specifically to  turkey and  spain  it stressed the need to protect politicians  freedom of expression ,15,immigracio
1829, lazos  parentesco   tribunal  cuentas alcanzan  100 empleados        pais,13,justicia
1835,iniciativa internacional liderada  professors economia     decisió  tribunal  cuentas   multat andreu mas colell   proves   possibilitat  defensar     tribunal  tribunal  cuentas    inquisició    ,0,presidencia
1837,academics including an american nobel prizewinner have condemned the prosecution of  catalan economist who   along with 38 others   face fines of millions of euros for their supposed role in catalonia s independence referendum in  1oct 2017       ,3,economia i hisenda
1841,normally  would not be posting personal developments  this website  but in this case  have  pressing concern  my dad  spanish economist andreu mas colell  is dealing with an incredibly difficult and unjust situation   1 ,15,immigracio
1848,   fet   aportació   plataforma       crowfunding   fent  grandíssim treball  garantir  drets laborals  personal  neteja    t animes      yoreservoconlaskellys   ,2,empresa i treball
1851, acord       idea   ampliar aeroport  prat   ,0,presidencia
1853, juliol   parlament  aprovar   proposta  desprivatitzar  061   transport sanitari      26 agost   conseller  salut  nega  complir  mandat parlamentari   demanem  comparegui  expliqui  motius   ciutadania      ,9,salut
1860, mà invisible  mercat  roba  cartera   ,12,cultura
1862,     ampliació  aeroport  prat  afectaria   salut   benestar físic  emocional  catalans  catalanes    explica       deixeu  llegir    ,8,accio climatica alimentacio i agenda rural
1864, único verde    ampliación  aeropuerto   elprat   billetes       embolsarán sacrificando  contemplaciones   personas   territorio    viven        pisarello    ,8,accio climatica alimentacio i agenda rural
1865, llenaron  mar menor  bloques  cemento     pesticidas  fertilizantes       dejar  verter agua contaminada  mandan  egea  bañarse   ,8,accio climatica alimentacio i agenda rural
1867, condemna  ferma  terrible homicidi  nen petit   ajuntament  donant suport psicosocial  acompanyament   mare  seguim  cas     bcnantimasclista   ,13,justicia
1871,    creat  crowdfunding  tirar   plataforma  reservar hotels  garanteixin  drets laborals  personal  neteja     fet   aportació   yoreservoconlaskellys  vols ajudar     temps   ,11,drets socials
1888,fraga  bañó  palomares   ahuyentar  turismo   garcía egea     mar menor   vivo      casado  bañará   demostrarlo    recordemos  fraga      mar menor      llenar  hoteles     ,8,accio climatica alimentacio i agenda rural
1889,   esfuerzo  transformar  mercado eléctrico   acabar   récords   luz   gobierno   consciente           proponemos limitar  precio   energía nuclear  hidroeléctrica  bajar  forma inmediata  factura ,3,economia i hisenda
1890,  gobierno  reformando  mercado energético  rebajar  coste   energía final  pagamos  familias  establecer límites   precios   energía nuclear  hidroeléctrica    propuesto    ayudaría    necesario objetivo ,2,empresa i treball
1896,traducció    senyors aena      favor  destruir  delta  llobregat    contaminació   emissions augmentin   brutal   gentrificar bcn   deixeu    fer    ,8,accio climatica alimentacio i agenda rural
1897,aragonès erc  aeroport  prat     salvar  ricarda   reduir emissions  co2   economia      platja  vols low cost    gestió catalana   gestió catalana  serveix    lideratge    fer  portaveu aena  ,1,vicepresidencia i politiques digitals i territori
1904,250 000    ajuntament      impermeabilitzar  rehabilitar  sostre  escola ferrer  guàrdia   ciutatmeridiana  noubarris  9barris  ,2,empresa i treball
1908,absoluta condemna    amenaces   odi   incompatibles   democràcia     suport  president    ,0,presidencia
1916,  innovación empresarial  glovo   subasta   baja  juega   desesperación   gente  obtener  beneficios       modelo laboral  apoya  pp   guerra  penúltimo      ,2,empresa i treball
1917, situació emergència   afganistan  desoladora  deixa desemparada   població afgana  especialment  dones  menors   tgn  ciutat acollidora    govern   posar  recursos econòmics  materials  fer realitat  voluntat solidària   ciutat  obrim fill ,9,salut
1923, asesinaron  lorca  85 años    herederos   verdugos gobiernan   tierra  todavia  mata  grito  maricón   ,13,justicia
1943,afganistan   deixant imatges insuportables  europa  actuar   immediata   vulneració  ddhh  especialment    dones    imprescindible paralitzar deportacions  obrir vies acolliment    quedi    situació inhumana   ,15,immigracio
1950,85 años   masacre  badajoz  4000 personas fusiladas    carnicero yagüe   calles   nombre  pablo casado  negando    golpe franquista   ,0,presidencia
1953, 29 prohibiciones   talibanes imponen   mujeres       ,4,igualtat i feminismes
1956,  animal mitològic preferit   aeroports verds   ,12,cultura
1965,vivir             transición verde  necesita   potente transición justa  concreta  cuantificada      elemento  equidad       elemento imprescindible   desarrollo     ,8,accio climatica alimentacio i agenda rural
1967,   ministerio  interior     cometer  ilegalidad    cumplir  ley  proteger  derechos humanos    vía    ,13,justicia
1971,    director   inspección      illueca   explica  actuaciones específicas   pondrán  marcha  garantizar   cumpla  ley  protege  derechos laborales   personas dedicadas  reparto  plataformas    ,2,empresa i treball
1977, pagar  pan   leche   garbanzos  precio   botella  whisky     liberalización  mercado eléctrico  aznar  rato   llevado     precio   luz   solución  eliminar  beneficios caídos  cielo   eléctrica pública   ,3,economia i hisenda
1983,observacions científiques  impulsar politiques sostenibles   transició justa  dades obsevades  qüestionen politiques  impulsen models  creixement depredadors  medi ambient   drets   ,7,recerca i universitats
1994, neonazi  explosivos   libertad  hassel    cárcel       justicia española   ,13,justicia
1997,   tristesa   ràbia   nom   santacoloma s   relacionar   corrupció    feina  fer queda   política   servei   gent    negocis  ,11,drets socials
1999, digan         trabajadoras  recuerda   decían  the wire  follow the money   ,2,empresa i treball
2005, comuns darán  batalla    niveles   ampliación   prat     mas pujolista   acuerdo secreto  puigneró  erc  comprado  modelo caducado    vida  psc  jxcat  fomento   parlem       ,1,vicepresidencia i politiques digitals i territori
2006, acte oficial  commeració   proclamació   ii república    poble vell  corbera ebre   ,0,presidencia
2007, vergonya      multinacionals disposades  utilitzar  homofobia  fer publicitat       pensin    ideaca  vendre   retirada immediata    snickers  ,4,igualtat i feminismes
2008,notícies   vegades passen  desapercebudes    marquen  camí   innovació   país inclusiu      respecten  drets bàsics      vida digna     bona feina      ajuntament  racisme     ,2,empresa i treball
2009, comunes darán  batalla    niveles   ampliación   prat   vía  ,1,vicepresidencia i politiques digitals i territori
2011,   multa  racismo   propiedad   immobiliaria   negaron  alquilar  piso   vecino  barcelona   origen    racismo immobiliario  ilegal   comportar  sanción   90 000    explico   1 5  ,11,drets socials
2014,  franquistas  razón    reconocerlo    ,0,presidencia
2016,  partits  ajuntament  prat acord   escletxes       ampliació  aeroport  prat       anirem  calgui  salvar  delta  llobregat   niunpammés  ,1,vicepresidencia i politiques digitals i territori
2019,ada colau  suena  pelotazo    vida      vivido    pandemia   visto   excesiva dependencia  turismo   vulnerables    apostar   economía  s  xxi  ciencia  tecnología  diversificación      ,2,empresa i treball
2023,   celebrem  oposició  bloc haguem aconseguit  readmissió  obra   comediant   badalona     previst   programa inicial   censura  govern   pp  intolerable      exigit  dimissió   regidora  cultura  ,0,presidencia
2026,  m entrevistaren  programa    voltant  ampliació  aeroport  prat    clar    projecte econòmic   representa  model  passat     futur  economia   diu europa passa   descarbonització    ,1,vicepresidencia i politiques digitals i territori
2031, oblidem  13 roses  13   llibertat  ,4,igualtat i feminismes
2038,mentres   fent promeses   ministra   diaz  continua treballant  demostrant  protegir   persones     renyit  millorar economia    ajuda  potencia  ,3,economia i hisenda
2046, vegades    paraules  mostrar  dolor   ràbia    condemna   cara  atroç  masclisme         19h   mobilitzem   plaza sant jaume   n      ,5,accio exterior i govern obert
2059, proposta ampliació suposaria repetir errors  passat  contaminar  precaritzar    economia  necessitem   segle xxi       ada colau  acord ampliació  aeroport  prat    ,1,vicepresidencia i politiques digitals i territori
2072, yolanda díaz reforzó  inspecciones   campo   patronal  tardó     echarse  manos   cabeza        amenazar   ministra    demuestra     necesarias      digno    ,2,empresa i treball
2076,  leer   entrevista   compañeras               angela             ,0,presidencia
2080,       entenderíamos  dimisión    sr  aragonés  cesara    irresponsabilidad política   falta  empatía   ciudadanía     día  piden  prórroga  toque  queda     vicepresident  govern  respete  normas   ,0,presidencia
2082, suicidio  amenaza silenciosa   pandemia   rompe     diez personas  quitan  vida  día  españa suspende  prevención    plan  xoque   bcn   extender    niveles    tlf  prevención  suicidio  ,9,salut
2089,   model  negoci  aguanta  drets laborals bàsics  s  xxi     parlant innovació   parlant   cosa  ,2,empresa i treball
2094,       crisis  caídas parecidas  pib    destruido  3m  empleos  9   10 personas   perdido   respiran    tranquilas cuidar   gente     país    economía     ,3,economia i hisenda
2104,    vulnerables   paraules  simone biles  abandonar  final   tokyo2020 obren  debat indispensable  diu  coses   nom   salut mental  salut     aconseguit    important   medalla    recuperis    ,9,salut
2105,  encomu  abraçada  forta  família  amistats  comapnys  companyes    encomu     terra   lleu  paco,9,salut
2107,  anys   bosc   representa   60    país     context emergència climàtica   estius  cops  calors   pluges  cuidar  país vol dir fer  resilient   incendis   debats  futur   debats  grans esdeveniments  passat  ,8,accio climatica alimentacio i agenda rural
2111,  plan   ministerio      cumpla    sentido común   siglo xxi    trabajador  fallecido   jornada    45      prioridad    diaz    protección    personas   salud   saludeneltrabajo  ,2,empresa i treball
2113, 77 6    catalans  catalanes suspèn   monarquia    volen     n parli  parlament  catalunya    monarquia segueixi sent  problema   seguirem parlant    suport      ,0,presidencia
2114,   dir claveguera  democràcia  mallorquí  menorquí  eivissenc  valencià  estimat sr casado   ,12,cultura
2123,cs ve     parlar  convivència  té aliança política   partit  nega  violència masclista   ataca miserablement  menors   ataca  llibertats sexuals    ferro       amenaça directa   convivència   país  ,0,presidencia
2129,    aconsegueix  suport   parlament  aturar   processos externalització sanitària  inclosa esterilització quirúrgica    proposta estendre  paga covid  personal  neteja sanitària  rebutjada  erc  junts  vox       ,9,salut
2139, capricho    space cowboys  bezos  sale  caro    ,7,recerca i universitats
2146,  dejado pilar bardem   mujer       importancia  cine   humor   vida   maestra   compromiso   cultura   lucha   mundo       cariño  familiares  amigos   recordaremos    ,12,cultura
2147,    esforços      nit   ifllançà continua inestable  obert   esperança  ajuda  mitjans aeris porti bones notícies    estiu sec  calorós  cuidem  medi natural   bombers   abraçada  forta    gent   alt empordà   ,8,accio climatica alimentacio i agenda rural
2151,preocupada   notícies  arriben  alemanya     escalf   persones afectades     vegada   evidents  conseqüències  canvi climàtic    futur possible  verd  té forma  transició ecològica    ,8,accio climatica alimentacio i agenda rural
2155,pauta  vacunació completa   moment  seguir agraint  increïbles professionals sanitaris     feinada          agraïment   vindre  forma  recursos   sanitat pública    cuidant    yomevacuno  ,9,salut
2160,font   gràfica     ,0,presidencia
2174,     defendido  campaña  ministerio  consumo   consumo  responsable  carne    ,8,accio climatica alimentacio i agenda rural
2176,seguim   ronda  trobades   grups           gràcies        espai  diàleg    somtercersectorsocial   legislaturasocial  ,12,cultura
2184,voces    javier ruiz   necesarias        quieran admitir    país   problema  lgtbifobia   discursos  odio   promueven   amparan    espacio mediático  caben   democracia   ,4,igualtat i feminismes
2190,        fundar   pacte territorial  compti  catalunya   país valencià   balears      territoris   patit  conseqüències  model centralista  recentralitzador  treballem  avançar    millor autogovern  ,0,presidencia
2196, brometa      orgull hetero   especialment estúpida   dir    suau    samuel assassinen   maricón     heterosexual assassinaran  sentir atracció  sexe contrari      llegiu  article         ,2,empresa i treball
2213,         plata  españa   paralympics  tokio2020     éxito  miguel luque   50 metros braza   toni ponce   200 metros   óscar salaguero  conseguido  medalla  plata   final  100 metros braza   enhorabuena        ,9,salut
2214,debemos actuar      desastre ecológico   mar menor      creación   marmenorparqueregional  dotar   laguna   máxima protección jurídica     moratoria urbanística indefinida  frente   pelotazos inmobiliarios    ,8,accio climatica alimentacio i agenda rural
2215,       eco   zascas    sanchez serna  pp   precio   luz    ,0,presidencia
2216, justo 10 años   sistema político bipartidista ponía  intereses   banca alemana  delante   servicios públicos españoles      infame artículo 135 ce  suspendido  facto    neoliberal  fracasada receta   austeridad    feliz cumpleaños ,0,presidencia
2220, grave   noticia  toca    demuestra  necesidad   inspección     políticas  impulsamos   ministerio     ministra   diaz    ,2,empresa i treball
2221, cumplen 10 años   alianza  bipartidismo  cambiar  artículo 135   constitución   reforma pactada  espaldas   ciudadanía  pleno agosto    intereses   especuladores  delante   servicios públicos ,0,presidencia
2223, feminismo   componente esencial   democracia     ideología  incorporarlo   vida corriente   instituciones   obligación democrática    1   violencia institucional   mujeres    ,4,igualtat i feminismes
2224,    pais recoge  historia  laura  nombre ficticio   víctima  violencia machista    perra buddy      112 laura  huir  dejar   animal  compañía  manos   agresor    sufres  situación similar  llama   673 765 330   ,4,igualtat i feminismes
2226, urgente crear  franja  protección    laguna   forma   zona deje   ocupada  fincas  agricultura intensiva     cantidades  abonos nitrogenados  fosfatados   contaminando  mar menor        ,8,accio climatica alimentacio i agenda rural
2231,    diga      letrados  congreso   partidos monárquicos    exactamente   pone   artículo 56 3   constitución española   ,13,justicia
